,glac_name,glacier_id,year,surging,probability,training
0,Monacobreen,G012697E79319N,2019,1,0.5495112692890027,1
1,Monacobreen,G012697E79319N,2020,1,0.8980733177462052,1
2,Monacobreen,G012697E79319N,2021,1,0.9229530504993306,1
3,Monacobreen,G012697E79319N,2022,1,0.8982263956732783,1
4,Monacobreen,G012697E79319N,2023,1,0.8767809974639619,1
5,Vonbreen,G013470E79201N,2021,1,0.6626685809718363,
6,Blomstrandbreen,G012468E79076N,2019,1,0.8178124749597936,
7,Blomstrandbreen,G012468E79076N,2020,1,0.8696375762135891,
8,Blomstrandbreen,G012468E79076N,2021,1,0.8336825004206041,
9,Blomstrandbreen,G012468E79076N,2022,1,0.7412018960100505,
10,Blomstrandbreen,G012468E79076N,2023,1,0.8538052315673145,
11,Infantfonna,G013248E78855N,2023,1,0.653391929683654,
12,Uversbreen,G012520E78787N,2019,1,0.8244880792202702,
13,Uversbreen,G012520E78787N,2020,1,0.8140899042957797,
14,Uversbreen,G012520E78787N,2021,1,0.8173402739082194,
15,Uversbreen,G012520E78787N,2022,1,0.7951721553780307,
16,Uversbreen,G012520E78787N,2023,1,0.7044911367836966,
17,Aavatsmarkbreen,G012307E78697N,2019,1,0.9335594336535478,
18,Aavatsmarkbreen,G012307E78697N,2020,1,0.9542083403292985,
19,Aavatsmarkbreen,G012307E78697N,2021,1,0.849083790767048,
20,Aavatsmarkbreen,G012307E78697N,2022,1,0.913079623158105,
21,Aavatsmarkbreen,G012307E78697N,2023,1,0.8795266176018524,
22,Konowbreen,G012918E78620N,2022,1,0.5446524620380976,
23,Konowbreen,G012918E78620N,2023,1,0.6872664024992301,
24,Dahlbreen,G012670E78658N,2021,1,0.5279282088444528,
25,Dahlbreen,G012670E78658N,2022,1,0.6780668936983569,
26,Dahlbreen,G012670E78658N,2023,1,0.6773217189127865,
27,Osbornebreen,G013139E78668N,2020,1,0.9789701413397903,1
28,Osbornebreen,G013139E78668N,2021,1,0.9924340282593223,1
29,Osbornebreen,G013139E78668N,2022,1,0.9997777777777778,1
30,Osbornebreen,G013139E78668N,2023,1,0.9994920634920635,1
31,Osbornebreen,G013271E78658N,2021,1,0.5326223167840312,
32,Osbornebreen,G013271E78658N,2022,1,0.61904274483237,
33,Esmarkbreen,G013747E78362N,2020,1,0.7411347499915243,
