,name,glacier_id,year,surging
0,Austfonna-Basin3,G024340E79634N,2019,1
1,Austfonna-Basin3,G024340E79634N,2020,1
2,Austfonna-Basin3,G024340E79634N,2021,1
3,Austfonna-Basin3,G024340E79634N,2022,1
4,Austfonna-Basin3,G024340E79634N,2023,1
5,Arnesenbreen,G018098E77802N,2019,1
6,Arnesenbreen,G018098E77802N,2020,1
7,Arnesenbreen,G018098E77802N,2023,1
8,Nathorstbreen,G016633E77290N,2019,1
9,Nathorstbreen,G016633E77290N,2020,1
10,Nathorstbreen,G016633E77290N,2021,1
11,Nathorstbreen,G016633E77290N,2022,1
12,Nathorstbreen,G016633E77290N,2023,1
13,Sonklarbreen,G020098E78757N,2020,1
14,Sonklarbreen,G020098E78757N,2021,1
15,Sonklarbreen,G020098E78757N,2022,1
16,Sonklarbreen,G020098E78757N,2023,1
17,Markhambreen,G017096E77164N,2019,1
18,Markhambreen,G017096E77164N,2020,1
19,Markhambreen,G017096E77164N,2021,1
20,Markhambreen,G017096E77164N,2023,1
21,Recherchebreen,G015037E77377N,2019,1
22,Recherchebreen,G015037E77377N,2020,1
23,Recherchebreen,G015037E77377N,2021,1
24,Recherchebreen,G015037E77377N,2022,1
25,Recherchebreen,G015037E77377N,2023,1
26,MorsjnevStrongbreen,G017697E77678N,2020,1
27,MorsjnevStrongbreen,G017697E77678N,2021,1
28,MorsjnevStrongbreen,G017697E77678N,2022,1
29,MorsjnevStrongbreen,G017697E77678N,2023,1
30,Kvalbreen,G018031E77579N,2020,1
31,Ganskijbreen,G020757E78746N,2019,1
32,Ganskijbreen,G020757E78746N,2020,1
33,Negribreen,G018042E78675N,2019,1
34,Negribreen,G018042E78675N,2020,1
35,Negribreen,G018042E78675N,2021,1
36,Negribreen,G018042E78675N,2022,1
37,Negribreen,G018042E78675N,2023,1
38,Tunabreen,G017497E78572N,2019,1
39,Tunabreen,G017497E78572N,2020,1
40,Tunabreen,G017497E78572N,2021,1
41,Tunabreen,G017497E78572N,2022,1
42,Tunabreen,G017497E78572N,2023,1
43,Osbornebreen,G013139E78668N,2020,1
44,Osbornebreen,G013139E78668N,2021,1
45,Osbornebreen,G013139E78668N,2022,1
46,Osbornebreen,G013139E78668N,2023,1
47,Monacobreen,G012697E79319N,2019,1
48,Monacobreen,G012697E79319N,2020,1
49,Monacobreen,G012697E79319N,2021,1
50,Monacobreen,G012697E79319N,2022,1
51,Monacobreen,G012697E79319N,2023,1
52,Stonebreen,G023608E77828N,2019,1
53,Stonebreen,G023608E77828N,2020,1
54,Stonebreen,G023608E77828N,2021,1
55,Stonebreen,G023608E77828N,2022,1
56,Stonebreen,G023608E77828N,2023,1
57,Penckbreen,G015616E77394N,2019,1
58,Penckbreen,G015616E77394N,2020,1
